grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request
40.417,-86.8935,30,66836,None,None,None,None,None,None,1583616847,23981952.0,0
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616848,22237600.0,1
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616849,40857632.0,2
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616850,17608800.0,3
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616851,17320736.0,4
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616852,40059968.0,5
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616853,29900384.0,6
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616854,33878848.0,7
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616855,17958112.0,8
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616856,12387040.0,9
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616857,10409408.0,10
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616858,12501216.0,11
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616859,34426272.0,12
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616860,16277856.0,13
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616861,13092736.0,14
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616862,11113024.0,15
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616863,40974944.0,16
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616864,47298784.0,17
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616865,15831232.0,18
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616866,13369760.0,19
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616867,12965856.0,20
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616868,27961280.0,21
40.417,-86.8935,30,66836,30,1075,30,66586,None,None,1583616869,44373952.0,22
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616870,31075424.0,23
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616871,15266176.0,24
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616872,16785056.0,25
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616873,19097408.0,26
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616874,14473312.0,27
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616875,30358656.0,28
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616876,18009568.0,29
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616877,30012096.0,30
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616878,31852896.0,31
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616879,42548160.0,32
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616880,36189024.0,33
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616881,26952448.0,34
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616882,28712704.0,35
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616883,15308032.0,36
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616884,28721088.0,37
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616885,37572352.0,38
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616886,23855936.0,39
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616887,22781088.0,40
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616888,14371776.0,41
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616889,35036960.0,42
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616890,12154912.0,43
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616891,10731808.0,44
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616892,15884000.0,45
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616893,17238368.0,46
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616894,31248160.0,47
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616896,20909120.0,49
40.417,-86.893,30,66836,30,1075,30,66586,None,None,1583616897,31871968.0,50
